vehicle_id,final_location_id,current_odometer_km,km_driven_this_lease_year,total_lifetime_km,annual_limit_km,overage_km,overage_ratio,total_relocations,total_relocation_cost,total_overage_cost,routes_completed,km_since_last_service,service_due
138,240,14333,0,14333,150000,0,0.00%,0,0.00,0.00,0,0,False
139,69,32901,336,32901,150000,0,0.22%,0,0.00,0.00,1,336,False
140,69,16200,310,16200,150000,0,0.21%,0,0.00,0.00,1,310,False
141,69,14362,202,14362,150000,0,0.13%,0,0.00,0.00,1,202,False
142,69,25426,264,25426,150000,0,0.18%,0,0.00,0.00,1,264,False
143,69,20262,103,20262,150000,0,0.07%,0,0.00,0.00,1,103,False
144,69,14690,158,14690,150000,0,0.11%,0,0.00,0.00,1,158,False
145,69,20434,87,20434,150000,0,0.06%,0,0.00,0.00,1,87,False
146,69,26051,153,26051,150000,0,0.10%,0,0.00,0.00,1,153,False
147,69,32458,373,32458,150000,0,0.25%,0,0.00,0.00,1,373,False
148,69,27894,199,27894,150000,0,0.13%,0,0.00,0.00,1,199,False
149,69,18475,271,18475,150000,0,0.18%,0,0.00,0.00,1,271,False
150,69,26169,216,26169,150000,0,0.14%,0,0.00,0.00,1,216,False
151,69,23478,111,23478,150000,0,0.07%,0,0.00,0.00,1,111,False
152,69,19034,263,19034,150000,0,0.18%,0,0.00,0.00,1,263,False
153,69,20893,220,20893,150000,0,0.15%,0,0.00,0.00,1,220,False
154,69,26185,221,26185,150000,0,0.15%,0,0.00,0.00,1,221,False
155,69,9668,379,9668,150000,0,0.25%,0,0.00,0.00,1,379,False
156,69,6543,308,6543,150000,0,0.21%,0,0.00,0.00,1,308,False
157,69,14205,215,14205,150000,0,0.14%,0,0.00,0.00,1,215,False
158,69,11614,216,11614,150000,0,0.14%,0,0.00,0.00,1,216,False
159,69,11743,217,11743,150000,0,0.14%,0,0.00,0.00,1,217,False
160,69,1210,97,1210,150000,0,0.06%,0,0.00,0.00,1,97,False
161,69,13333,204,13333,150000,0,0.14%,0,0.00,0.00,1,204,False
162,69,1660,0,1660,150000,0,0.00%,0,0.00,0.00,0,0,False
163,69,11194,0,11194,150000,0,0.00%,0,0.00,0.00,0,0,False
164,69,7968,0,7968,150000,0,0.00%,0,0.00,0.00,0,0,False
165,69,11238,0,11238,150000,0,0.00%,0,0.00,0.00,0,0,False
166,69,12196,0,12196,150000,0,0.00%,0,0.00,0.00,0,0,False
167,69,11321,0,11321,150000,0,0.00%,0,0.00,0.00,0,0,False
168,69,6800,0,6800,150000,0,0.00%,0,0.00,0.00,0,0,False
169,69,20333,0,20333,150000,0,0.00%,0,0.00,0.00,0,0,False
170,69,20247,0,20247,150000,0,0.00%,0,0.00,0.00,0,0,False
171,69,6417,0,6417,150000,0,0.00%,0,0.00,0.00,0,0,False
172,69,21000,0,21000,150000,0,0.00%,0,0.00,0.00,0,0,False
173,69,338135,0,338135,150000,0,0.00%,0,0.00,0.00,0,0,False
174,69,35937,0,35937,150000,0,0.00%,0,0.00,0.00,0,0,False
175,69,24406,0,24406,150000,0,0.00%,0,0.00,0.00,0,0,False
176,69,262573,0,262573,150000,0,0.00%,0,0.00,0.00,0,0,False
177,69,18004,0,18004,150000,0,0.00%,0,0.00,0.00,0,0,False
178,69,14527,0,14527,150000,0,0.00%,0,0.00,0.00,0,0,False
179,69,295585,0,295585,150000,0,0.00%,0,0.00,0.00,0,0,False
180,73,22735,0,22735,150000,0,0.00%,0,0.00,0.00,0,0,False
