route_id,vehicle_id,date,route_distance_km,route_start_location,route_end_location,vehicle_km_before,vehicle_km_after,annual_km_before,annual_km_after,requires_relocation,requires_service,assignment_cost,relocation_from,relocation_to,relocation_distance_km,relocation_time_hours,overage_km,chain_score
1,1,2024-01-01 00:00:00,99.63,73,73,328536,328635,0,99,False,False,0.00,,,0.00,0.00,0,0.0000
2,97,2024-01-01 00:00:00,205.50,240,240,221439,221644,0,205,False,False,0.00,,,0.00,0.00,0,0.0000
3,98,2024-01-01 00:00:00,112.49,240,240,167793,167905,0,112,False,False,0.00,,,0.00,0.00,0,0.0000
4,99,2024-01-01 00:00:00,242.08,240,240,269278,269520,0,242,False,False,0.00,,,0.00,0.00,0,0.0000
5,100,2024-01-01 00:00:00,194.05,240,240,217603,217797,0,194,False,False,0.00,,,0.00,0.00,0,0.0000
6,2,2024-01-01 00:00:00,128.57,73,73,401553,401681,0,128,False,False,0.00,,,0.00,0.00,0,0.0000
7,101,2024-01-01 00:00:00,206.14,240,240,210821,211027,0,206,False,False,0.00,,,0.00,0.00,0,0.0000
8,3,2024-01-01 00:00:00,251.09,73,73,416249,416500,0,251,False,False,0.00,,,0.00,0.00,0,0.0000
9,49,2024-01-01 00:00:00,296.84,233,233,363455,363751,0,296,False,False,0.00,,,0.00,0.00,0,0.0000
10,102,2024-01-01 00:00:00,191.01,240,240,198964,199155,0,191,False,False,0.00,,,0.00,0.00,0,0.0000
11,50,2024-01-01 00:00:00,193.97,233,233,350755,350948,0,193,False,False,0.00,,,0.00,0.00,0,0.0000
12,51,2024-01-01 00:00:00,196.21,233,233,287852,288048,0,196,False,False,0.00,,,0.00,0.00,0,0.0000
13,4,2024-01-01 00:00:00,226.78,73,73,402709,402935,0,226,False,False,0.00,,,0.00,0.00,0,0.0000
14,5,2024-01-01 00:00:00,130.29,73,73,363536,363666,0,130,False,False,0.00,,,0.00,0.00,0,0.0000
15,52,2024-01-01 00:00:00,160.20,233,233,275179,275339,0,160,False,False,0.00,,,0.00,0.00,0,0.0000
16,139,2024-01-01 00:00:00,336.69,69,69,32565,32901,0,336,False,False,0.00,,,0.00,0.00,0,0.0000
17,103,2024-01-01 00:00:00,128.82,240,240,178211,178339,0,128,False,False,0.00,,,0.00,0.00,0,0.0000
18,6,2024-01-01 00:00:00,412.55,73,73,370918,371330,0,412,False,False,0.00,,,0.00,0.00,0,0.0000
19,140,2024-01-01 00:00:00,310.51,69,69,15890,16200,0,310,False,False,0.00,,,0.00,0.00,0,0.0000
20,53,2024-01-01 00:00:00,178.07,233,233,362188,362366,0,178,False,False,0.00,,,0.00,0.00,0,0.0000
21,104,2024-01-01 00:00:00,329.01,240,240,175986,176315,0,329,False,False,0.00,,,0.00,0.00,0,0.0000
22,7,2024-01-01 00:00:00,128.31,73,73,443071,443199,0,128,False,False,0.00,,,0.00,0.00,0,0.0000
23,141,2024-01-01 00:00:00,202.57,69,69,14160,14362,0,202,False,False,0.00,,,0.00,0.00,0,0.0000
