route_id,vehicle_id,date,route_distance_km,route_start_location,route_end_location,vehicle_km_before,vehicle_km_after,annual_km_before,annual_km_after,requires_relocation,requires_service,assignment_cost,relocation_from,relocation_to,relocation_distance_km,relocation_time_hours,overage_km,chain_score
1,1,2024-01-01 00:00:00,99.63,73,73,328536,328635,0,99,False,False,0.00,,,0.00,0.00,0,0.0000
2,96,2024-01-01 00:00:00,205.50,240,240,155293,155498,0,205,False,False,0.00,,,0.00,0.00,0,0.0000
3,97,2024-01-01 00:00:00,112.49,240,240,221439,221551,0,112,False,False,0.00,,,0.00,0.00,0,0.0000
4,98,2024-01-01 00:00:00,242.08,240,240,167793,168035,0,242,False,False,0.00,,,0.00,0.00,0,0.0000
5,99,2024-01-01 00:00:00,194.05,240,240,269278,269472,0,194,False,False,0.00,,,0.00,0.00,0,0.0000
6,2,2024-01-01 00:00:00,128.57,73,73,401553,401681,0,128,False,False,0.00,,,0.00,0.00,0,0.0000
7,100,2024-01-01 00:00:00,206.14,240,240,217603,217809,0,206,False,False,0.00,,,0.00,0.00,0,0.0000
8,3,2024-01-01 00:00:00,251.09,73,73,416249,416500,0,251,False,False,0.00,,,0.00,0.00,0,0.0000
9,51,2024-01-01 00:00:00,296.84,233,233,287852,288148,0,296,False,False,0.00,,,0.00,0.00,0,0.0000
10,101,2024-01-01 00:00:00,191.01,240,240,210821,211012,0,191,False,False,0.00,,,0.00,0.00,0,0.0000
11,52,2024-01-01 00:00:00,193.97,233,233,275179,275372,0,193,False,False,0.00,,,0.00,0.00,0,0.0000
12,53,2024-01-01 00:00:00,196.21,233,233,362188,362384,0,196,False,False,0.00,,,0.00,0.00,0,0.0000
13,4,2024-01-01 00:00:00,226.78,73,73,402709,402935,0,226,False,False,0.00,,,0.00,0.00,0,0.0000
14,5,2024-01-01 00:00:00,130.29,73,73,363536,363666,0,130,False,False,0.00,,,0.00,0.00,0,0.0000
15,54,2024-01-01 00:00:00,160.20,233,233,349355,349515,0,160,False,False,0.00,,,0.00,0.00,0,0.0000
16,139,2024-01-01 00:00:00,336.69,69,69,32565,32901,0,336,False,False,0.00,,,0.00,0.00,0,0.0000
17,102,2024-01-01 00:00:00,128.82,240,240,198964,199092,0,128,False,False,0.00,,,0.00,0.00,0,0.0000
18,6,2024-01-01 00:00:00,412.55,73,73,370918,371330,0,412,False,False,0.00,,,0.00,0.00,0,0.0000
19,140,2024-01-01 00:00:00,310.51,69,69,15890,16200,0,310,False,False,0.00,,,0.00,0.00,0,0.0000
20,55,2024-01-01 00:00:00,178.07,233,233,334594,334772,0,178,False,False,0.00,,,0.00,0.00,0,0.0000
21,103,2024-01-01 00:00:00,329.01,240,240,178211,178540,0,329,False,False,0.00,,,0.00,0.00,0,0.0000
22,7,2024-01-01 00:00:00,128.31,73,73,443071,443199,0,128,False,False,0.00,,,0.00,0.00,0,0.0000
23,141,2024-01-01 00:00:00,202.57,69,69,14160,14362,0,202,False,False,0.00,,,0.00,0.00,0,0.0000
24,142,2024-01-01 00:00:00,264.92,69,69,25162,25426,0,264,False,False,0.00,,,0.00,0.00,0,0.0000
25,143,2024-01-01 00:00:00,103.44,69,69,20159,20262,0,103,False,False,0.00,,,0.00,0.00,0,0.0000
26,8,2024-01-01 00:00:00,236.18,73,73,430006,430242,0,236,False,False,0.00,,,0.00,0.00,0,0.0000
27,104,2024-01-01 00:00:00,187.17,240,240,175986,176173,0,187,False,False,0.00,,,0.00,0.00,0,0.0000
28,9,2024-01-01 00:00:00,246.42,73,73,416583,416829,0,246,False,False,0.00,,,0.00,0.00,0,0.0000
29,10,2024-01-01 00:00:00,223.46,73,73,369784,370007,0,223,False,False,0.00,,,0.00,0.00,0,0.0000
30,144,2024-01-01 00:00:00,158.77,69,69,14532,14690,0,158,False,False,0.00,,,0.00,0.00,0,0.0000
31,56,2024-01-01 00:00:00,217.31,233,233,347389,347606,0,217,False,False,0.00,,,0.00,0.00,0,0.0000
32,11,2024-01-01 00:00:00,242.94,73,73,332814,333056,0,242,False,False,0.00,,,0.00,0.00,0,0.0000
33,145,2024-01-01 00:00:00,87.09,69,69,20347,20434,0,87,False,False,0.00,,,0.00,0.00,0,0.0000
34,105,2024-01-01 00:00:00,152.58,240,240,230832,230984,0,152,False,False,0.00,,,0.00,0.00,0,0.0000
35,12,2024-01-01 00:00:00,124.08,73,73,375169,375293,0,124,False,False,0.00,,,0.00,0.00,0,0.0000
36,57,2024-01-01 00:00:00,135.66,233,233,276979,277114,0,135,False,False,0.00,,,0.00,0.00,0,0.0000
37,58,2024-01-01 00:00:00,261.24,233,233,284176,284437,0,261,False,False,0.00,,,0.00,0.00,0,0.0000
38,13,2024-01-01 00:00:00,168.94,73,73,359971,360139,0,168,False,False,0.00,,,0.00,0.00,0,0.0000
39,59,2024-01-01 00:00:00,204.17,233,233,234477,234681,0,204,False,False,0.00,,,0.00,0.00,0,0.0000
40,60,2024-01-01 00:00:00,336.65,233,233,350984,351320,0,336,False,False,0.00,,,0.00,0.00,0,0.0000
41,146,2024-01-01 00:00:00,153.53,69,69,25898,26051,0,153,False,False,0.00,,,0.00,0.00,0,0.0000
42,14,2024-01-01 00:00:00,282.15,73,73,353753,354035,0,282,False,False,0.00,,,0.00,0.00,0,0.0000
43,147,2024-01-01 00:00:00,373.63,69,69,32085,32458,0,373,False,False,0.00,,,0.00,0.00,0,0.0000
44,106,2024-01-01 00:00:00,273.00,240,240,210046,210319,0,273,False,False,0.00,,,0.00,0.00,0,0.0000
45,107,2024-01-01 00:00:00,242.81,240,240,207089,207331,0,242,False,False,0.00,,,0.00,0.00,0,0.0000
46,61,2024-01-01 00:00:00,151.81,233,233,259815,259966,0,151,False,False,0.00,,,0.00,0.00,0,0.0000
47,15,2024-01-01 00:00:00,129.96,73,73,337025,337154,0,129,False,False,0.00,,,0.00,0.00,0,0.0000
48,62,2024-01-01 00:00:00,216.04,233,233,331697,331913,0,216,False,False,0.00,,,0.00,0.00,0,0.0000
49,63,2024-01-01 00:00:00,127.11,233,233,396831,396958,0,127,False,False,0.00,,,0.00,0.00,0,0.0000
50,64,2024-01-01 00:00:00,252.13,233,233,362857,363109,0,252,False,False,0.00,,,0.00,0.00,0,0.0000
51,148,2024-01-01 00:00:00,199.11,69,69,27695,27894,0,199,False,False,0.00,,,0.00,0.00,0,0.0000
52,16,2024-01-01 00:00:00,250.23,73,73,414636,414886,0,250,False,False,0.00,,,0.00,0.00,0,0.0000
53,108,2024-01-01 00:00:00,222.83,240,240,263847,264069,0,222,False,False,0.00,,,0.00,0.00,0,0.0000
54,65,2024-01-01 00:00:00,151.90,233,233,367893,368044,0,151,False,False,0.00,,,0.00,0.00,0,0.0000
55,66,2024-01-01 00:00:00,245.17,233,233,351791,352036,0,245,False,False,0.00,,,0.00,0.00,0,0.0000
56,149,2024-01-01 00:00:00,271.64,69,69,18204,18475,0,271,False,False,0.00,,,0.00,0.00,0,0.0000
57,17,2024-01-01 00:00:00,273.83,73,73,371189,371462,0,273,False,False,0.00,,,0.00,0.00,0,0.0000
58,67,2024-01-01 00:00:00,164.12,233,233,405786,405950,0,164,False,False,0.00,,,0.00,0.00,0,0.0000
59,68,2024-01-01 00:00:00,210.76,233,233,379368,379578,0,210,False,False,0.00,,,0.00,0.00,0,0.0000
60,69,2024-01-01 00:00:00,361.82,233,233,372761,373122,0,361,False,False,0.00,,,0.00,0.00,0,0.0000
61,18,2024-01-01 00:00:00,170.83,73,73,307177,307347,0,170,False,False,0.00,,,0.00,0.00,0,0.0000
62,109,2024-01-01 00:00:00,226.62,240,240,270843,271069,0,226,False,False,0.00,,,0.00,0.00,0,0.0000
63,70,2024-01-01 00:00:00,172.10,233,233,431874,432046,0,172,False,False,0.00,,,0.00,0.00,0,0.0000
64,110,2024-01-01 00:00:00,233.20,240,240,191433,191666,0,233,False,False,0.00,,,0.00,0.00,0,0.0000
65,111,2024-01-01 00:00:00,133.32,240,240,218291,218424,0,133,False,False,0.00,,,0.00,0.00,0,0.0000
66,71,2024-01-01 00:00:00,234.12,233,233,445331,445565,0,234,False,False,0.00,,,0.00,0.00,0,0.0000
67,150,2024-01-01 00:00:00,216.81,69,69,25953,26169,0,216,False,False,0.00,,,0.00,0.00,0,0.0000
68,151,2024-01-01 00:00:00,111.36,69,69,23367,23478,0,111,False,False,0.00,,,0.00,0.00,0,0.0000
69,152,2024-01-01 00:00:00,263.37,69,69,18771,19034,0,263,False,False,0.00,,,0.00,0.00,0,0.0000
70,153,2024-01-01 00:00:00,220.93,69,69,20673,20893,0,220,False,False,0.00,,,0.00,0.00,0,0.0000
71,112,2024-01-01 00:00:00,313.06,240,240,167222,167535,0,313,False,False,0.00,,,0.00,0.00,0,0.0000
72,113,2024-01-01 00:00:00,114.85,240,240,191927,192041,0,114,False,False,0.00,,,0.00,0.00,0,0.0000
73,19,2024-01-01 00:00:00,248.33,73,73,293301,293549,0,248,False,False,0.00,,,0.00,0.00,0,0.0000
74,114,2024-01-01 00:00:00,112.86,240,240,218759,218871,0,112,False,False,0.00,,,0.00,0.00,0,0.0000
75,20,2024-01-01 00:00:00,222.93,73,73,370189,370411,0,222,False,False,0.00,,,0.00,0.00,0,0.0000
76,72,2024-01-01 00:00:00,136.23,233,233,396839,396975,0,136,False,False,0.00,,,0.00,0.00,0,0.0000
77,154,2024-01-01 00:00:00,221.84,69,69,25964,26185,0,221,False,False,0.00,,,0.00,0.00,0,0.0000
78,155,2024-01-01 00:00:00,379.65,69,69,9289,9668,0,379,False,False,0.00,,,0.00,0.00,0,0.0000
79,115,2024-01-01 00:00:00,160.10,240,240,177321,177481,0,160,False,False,0.00,,,0.00,0.00,0,0.0000
80,21,2024-01-01 00:00:00,166.81,73,73,368126,368292,0,166,False,False,0.00,,,0.00,0.00,0,0.0000
81,73,2024-01-01 00:00:00,158.31,233,233,382680,382838,0,158,False,False,0.00,,,0.00,0.00,0,0.0000
82,22,2024-01-01 00:00:00,230.12,73,73,325003,325233,0,230,False,False,0.00,,,0.00,0.00,0,0.0000
