route_id,vehicle_id,date,route_distance_km,route_start_location,route_end_location,vehicle_km_before,vehicle_km_after,annual_km_before,annual_km_after,requires_relocation,requires_service,assignment_cost,relocation_from,relocation_to,relocation_distance_km,relocation_time_hours,overage_km,chain_score
83,156,2024-01-01 00:00:00,308.83,69,69,6235,6543,0,308,False,False,0.00,,,0.00,0.00,0,0.0000
84,74,2024-01-01 00:00:00,194.84,233,233,430165,430359,0,194,False,False,0.00,,,0.00,0.00,0,0.0000
85,157,2024-01-01 00:00:00,215.36,69,69,13990,14205,0,215,False,False,0.00,,,0.00,0.00,0,0.0000
86,23,2024-01-01 00:00:00,207.67,73,73,425819,426026,0,207,False,False,0.00,,,0.00,0.00,0,0.0000
87,158,2024-01-01 00:00:00,216.27,69,69,11398,11614,0,216,False,False,0.00,,,0.00,0.00,0,0.0000
88,116,2024-01-01 00:00:00,88.02,240,240,141911,141999,0,88,False,False,0.00,,,0.00,0.00,0,0.0000
89,159,2024-01-01 00:00:00,217.75,69,69,11526,11743,0,217,False,False,0.00,,,0.00,0.00,0,0.0000
90,24,2024-01-01 00:00:00,190.10,73,73,295402,295592,0,190,False,False,0.00,,,0.00,0.00,0,0.0000
91,75,2024-01-01 00:00:00,216.32,233,233,435782,435998,0,216,False,False,0.00,,,0.00,0.00,0,0.0000
92,117,2024-01-01 00:00:00,353.23,240,240,184119,184472,0,353,False,False,0.00,,,0.00,0.00,0,0.0000
93,160,2024-01-01 00:00:00,97.03,69,69,1113,1210,0,97,False,False,0.00,,,0.00,0.00,0,0.0000
94,25,2024-01-01 00:00:00,646.87,73,73,359594,360240,0,646,False,False,0.00,,,0.00,0.00,0,0.0000
95,161,2024-01-01 00:00:00,204.30,69,69,13129,13333,0,204,False,False,0.00,,,0.00,0.00,0,0.0000
96,26,2024-01-01 00:00:00,176.65,73,73,308116,308292,0,176,False,False,0.00,,,0.00,0.00,0,0.0000
97,27,2024-01-01 00:00:00,226.06,73,73,364460,364686,0,226,False,False,0.00,,,0.00,0.00,0,0.0000
98,28,2024-01-01 00:00:00,241.23,73,73,326839,327080,0,241,False,False,0.00,,,0.00,0.00,0,0.0000
99,118,2024-01-01 00:00:00,146.25,240,240,164740,164886,0,146,False,False,0.00,,,0.00,0.00,0,0.0000
100,119,2024-01-01 00:00:00,56.91,240,240,209066,209122,0,56,False,False,0.00,,,0.00,0.00,0,0.0000
